Website Status,Title,Abstract,Website,Organizers
Available online,DeepHumanXR: 1st Workshop on Deep Human Factors Research for eXtended Reality: From Virtuality to Reality,"The 1st international workshop on Deep human factors research for eXtended Reality (DeepHumanXR) aims to bring together researchers interested in developing technologies utilizing human-centered data for creating next-generation user interfaces and user interaction in XR.

This call for workshop papers aims to attract contributions addressing how human-centered techniques can be applied to XR user experiences. Here we consider three interconnected areas of human-centered techniques. First is human internal factors, which includes technologies that utilize physiological signals to facilitate a bio-feedback XR applications. Second is human external factors, which includes technologies that utilize digital human or avatar appearance, natural motion, and biological actuation to facilitate realistic digital human for XR applications. Third is human environmental factors, which includes 3D environment capturing and modelling, MR rendering and composition, and telepresence & remote XR collaboration. Additional topics that fit within the categories are encouraged. Feel free to email the workshop organizers if you have questions about your potential submission.
",https://www.deephumanxr.org,"Myeongul Jung, Taehyun Rhee, Kwanguk (Kenny) Kim, Adelaide Geney, Yoonsang Lee"
Available online,"GEMINI: 3rd Workshop on Gaze and Eye Movement in Interaction in XR
","The 3rd Workshop on Gaze and Eye Movement in Interaction in XR (GEMINI) aims to reflect on the research agenda for gaze-based interaction in extended reality (XR). This is especially important due to the growing integration of eye-tracking technology in modern headsets, which presents significant research opportunities. Researchers and practitioners are invited to contribute and discuss their original research, opinions, and work-in-progress that explore the intricacies of gaze in XR. This workshop aims to bring together researchers and practitioners from different domains to discuss gaze-based research, such as 3D user interfaces, applications, and gaze analysis in XR, and to reflect on the current state and future directions of gaze-based interaction in XR.",https://sites.google.com/view/w-gemini/call-for-papers,"Qiushi Zhou, Jinwook Kim, Franziska Prummer, Haopeng Wang, Florian Weidner, Ken Pfeuffer, Hans Gellersen"
Available online,"XRMemory: 2nd International Workshop on Spatial Memory in XR
Defining and Capturing Memory for Interactive Playback in XR","This workshop focuses on the emerging challenge of recording and representing spatial experiences in a way that supports adaptive playback, particularly within XR environments. While photos and videos have long served as passive memory aids, the rise of AR/VR technologies and spatial computing enables the capture of experiences that are not only immersive but also interactive and reconfigurable—supporting interaction with recorded scenes, virtual avatars, AI agents, and other immersed and non-immersed humans.

This workshop aims to bring together experts across AI, XR, graphics, computer vision, and large language models (LLMs) to investigate the technological foundations for capturing, recreating, and sharing these dynamic spatial experiences. By fostering discussions on how these interdisciplinary technologies can enable richer, more vivid forms of memory retention and experience sharing, we hope to reshape the way we remember memories across the boundaries of time and space.
",https://sites.google.com/view/xrmemory25/main,"Dooyoung Kim, Woontack Woo, Sung-Hee Lee, Seung Hyun Cha, Jeongmi Lee, Jinyoung Yeo, Kangsoo Kim, Claudio Silva, Dishita Turakhia, Rob Lindeman, Steven Feiner"
Available online,MIX: 1st International Workshop on Multisensory Interactions in Extended Reality,"The Multisensory Interactions in Extended Reality (MIX) workshop addresses the critical, yet underexplored, challenge of integrating visual, auditory, and haptic feedback into coherent and perceptually congruent Extended Reality (XR) experiences. While individual modalities like high-fidelity visuals and spatial audio continue to advance, a unified understanding of how to design for integrated multisensory perception is missing. A key theme will be the challenge of crossmodal congruence and integration, especially when dealing with asymmetric fidelity across senses. We will examine whether maximal realism is always the optimal goal, exploring if robust multisensory perception can potentially be achieved with lower-fidelity cues or sensory illusions. By bringing together researchers from cognitive psychology, computer science, HCI, and design, MIX aims to cultivate innovative approaches and theoretical insights needed to open new pathways for building XR systems that offer truly natural multisensory interactions.",https://mix-workshop.github.io/,"Laura Schütz, Sasan Matinfar, Yannick Weiss, Matthias Hoppe, Carlos García Fernández, Myung Jin Kim, Merle Fairhurst, Nassir Navab"
Available online,"NeuroXR: Neurophysiological Signals, Affective Computing and Cognition in Extended Reality","This workshop aims to explore the critical intersections between neurotechnology, affective computing, and user cognition within XR environments. Recognizing the human element as central to immersive experiences, the workshop seeks to deepen understanding of how to effectively sense, interpret, and adapt to users' cognitive and emotional states to enhance personalization, engagement, and effectiveness in XR. Key themes include novel neurophysiological sensing methods in XR, real-time affective state recognition, designing adaptive and personalized XR experiences based on neuro-affective feedback, neurofeedback applications within XR, and the crucial ethical considerations surrounding this sensitive data.  
 
This hybrid workshop invites researchers and practitioners to present current research through paper presentations, which will be complemented by a keynote session, panel discussions with experts, online/offline networking sessions, and a potential industry demonstration session. Accepted papers are planned for inclusion and publication in the ISMAR 2025 conference proceedings. The workshop offers a platform for discussing current and future research projects, fostering collaboration within this rapidly evolving interdisciplinary field.",https://sites.google.com/view/neuroxrismar2025/,"Jean Botev, Pradipta Biswas, Akash K Rao, Rahul Kumar Ray, Gowdham Prabhakar, Sahar Niknam"
Available online,XRAI-SCA: 1st International Workshop on eXtended Reality and Artificial Intelligence for Serious and Critical Applications,"The 1st International Workshop on eXtended Reality and Artificial Intelligence for Serious and Critical Applications (XRAI-SCA) aims to bring together interdisciplinary researchers, practitioners, and industry experts to explore the convergence of XR and AI in domains where safety, ethics, decision-making, and human performance are critical. As XR and AI technologies continue to evolve and find applications in mission-critical settings—such as healthcare, defense, emergency response, and industrial operations—there is an urgent need to ensure these systems are robust, explainable, and human-centered. XRAI-SCA provides a dedicated venue for presenting empirical studies, conceptual frameworks, system designs, and application case studies that address challenges in high-stakes environments. The workshop welcomes diverse perspectives from AR/VR/XR, AI, human-computer interaction (HCI), cognitive science, and domain-specific disciplines to collaboratively advance research and practice in this emerging area.",https://sites.google.com/view/xrai-sca,"Kangsoo Kim, Junho Park, Barrett Ens, Kara Sealock, Ji-Young Yeo, Hyun-Ho Choi, Frank Maurer"
Available online,WEXR: The 1st International Workshop on Working Enhancement with Extended Reality,"Despite the increasing maturity of Extended Reality (XR) technologies and a growing body of evidence demonstrating their benefits in training, collaboration, and productivity, the widespread adoption of XR in real-world work settings remains limited. This disconnection suggests persistent barriers (technological, organizational, and human-centered) that we aim to identify and address in the workshop: Bridging Perception and Reality, Enhancing Worker Well-Being, Preparing for the Metaverse Era, Addressing Social and Ethical Implications. By unifying technical breakthroughs with user-centric design and systemic considerations, this workshop will lay a foundation for harnessing XR technologies to shape the offices, factories, and laboratories of the future. Join us to share your work, exchange ideas with top researchers, and help define the XR workplaces of tomorrow.",https://sites.google.com/view/wexr-ismar25/home,"Michele Gattullo, Mariano Luis Alcañiz Raya"
Available online,"TRUST-XR: The 1st International Workshop on Trustworthy, Secure, and Privacy-Aware artificial intelligence for Extended Reality Applications","The TRUST-XR 2025 workshop addresses the urgent need for trustworthy, secure, and privacy-aware artificial intelligence (AI) in extended reality (XR) applications. As XR technologies become increasingly integrated into domains such as education, healthcare, defense, workforce training, entertainment, and many more, the reliance on sensitive user data (e.g., eye-tracking, physiological signals, behavioral patterns) and complex AI models introduces critical risks related to privacy breaches, adversarial vulnerabilities, bias, lack of explainability, and user manipulation. Furthermore, recent trends of integrating generative AI (e.g., large language models (LLMs)) into XR applications for content generation and intelligent interaction further amplify these challenges. However, both conventional and generative AI models in XR systems function as black-box methods, offering little to no explainability and limiting user trust and system transparency. Integrating explainability with the AI models can significantly improve the model’s understanding and provide insight into why and how the AI model arrived at a specific decision. Meanwhile, XR systems rely on highly sensitive data, such as eye-tracking and physiological signals, which make them vulnerable to privacy breaches, identity inference, and behavioral manipulation. Moreover, these AI models used in XR applications are becoming more prone to attacks, where harmful inputs can cause wrong predictions or dangerous situations in immersive environments. ",https://dependable-cps.github.io/TRUST-XR-2025/,"Khaza Anuarul Hoque, Brendan David-John, Ripan Kumar Kundu"
Available online,UNAI: 4th Workshop on Universal Augmented Interaction,"The era of generative content is upon the humankind. For the first time in the evolutionary history, our mind is pervasively experiencing multi-modal signals produced not by other living beings, but by mathematical models. We do not yet have an understanding of this phenomenon’s lasting effects on human cognition and behaviour. This especially concerns Virtual and Augmented Reality, which is known to “amplify” affections, particularly for inexperienced user groups. We believe that studying the new neural engagements’ potential benefits and threats is urgently called for.

This year UNAI’s motto is going to be “Accessible and Neurosecure Augmented Reality”. The UNAI workshop will bring in original research, review and position papers, as well as practical developments dedicated to various types of augmented interaction, including AI-enhanced interfaces and generated content, neural technologies, etc. The focus is on making today’s VR/AR safe and universally applicable, usable and accessible for all kinds of users, including non-technologically advanced ones, such as elder people, and in all contexts: at home and at work, in medicine/healthcare and in industry, as momentary entertainment and as everyday job. As with previous editions of our workshop, the scope involves human factors aspects and social implications, rather than technological nuances.
",https://www.unai-ismar.tech/,"Maxim Bakaev, Olga Razumnikova, Hong-in Cheng, Kyungdoh Kim, Gyu Hyun Kwon"
Available online,WoRXR: 5th Workshop on Replication in Extended Reality,"The ""replication crisis"" describes widespread failures to replicate empirical findings. Over 50% of previously reported results could only be replicated in a few cases. While originating in medicine and psychology, the replication crisis has also reached other empirical research areas, such as computer science. These issues have shaken the foundations of these fields: Can empirical results be believed? How can we support the reproducibility of increasingly complex interactive systems?

We invite researchers to conduct replication studies of their own (or others') previous experiments with a new set of participants. We anticipate that the current trend towards XR-based studies using, e.g., Quest or HoloLens, will make it easier to re-run existing experiments. Our workshop goal is to work towards a joint journal submission on lessons learned through replicated studies.

This workshop aims to bring together researchers interested in replicating empirical research and algorithmic reproducibility of computing artifacts inside and outside the AR/VR/MR/XR community. Specifically, the workshop will introduce essential concepts and case studies, and then evolve into discussing position papers by participants.""
",https://sites.google.com/view/2025worxr/call-for-participation,"Mohammed Safayet Arefin, Verena Biener, Jens Grubert, Florian Weidner, J. Edward Swan II"
